Lớp bằng chứng,Chỉ số,Giá trị,Diễn giải
ĐL1: Khác biệt trung bình,GLO,d = 2.084,Rất lớn
ĐL1: Khác biệt trung bình,OCM,d = 1.633,Rất lớn
ĐL1: Khác biệt trung bình,SAT_O,d = 1.983,Rất lớn
ĐL1: Khác biệt trung bình,SAT_J,d = 1.645,Rất lớn
ĐL1: Khác biệt trung bình,WEG,d = 0.807,Lớn
ĐL1: Khác biệt trung bình,PRO,d = 1.086,Lớn
ĐL2: Hồi quy có kiểm soát + SE cụm,OCM,"β(VHCL) = 0.662, p_cụm = 0.0",Unchanged
ĐL2: Hồi quy có kiểm soát + SE cụm,SAT_O,"β(VHCL) = 0.762, p_cụm = 0.0",Unchanged
ĐL2: Hồi quy có kiểm soát + SE cụm,SAT_J,"β(VHCL) = 0.656, p_cụm = 0.0",Unchanged
ĐL2: Hồi quy có kiểm soát + SE cụm,WEG,"β(VHCL) = 0.716, p_cụm = 0.0",Unchanged
ĐL2: Hồi quy có kiểm soát + SE cụm,PRO,"β(VHCL) = 0.738, p_cụm = 0.0",Unchanged
ĐL3: Bất biến đo lường (congruence),GLO,phi = 0.994,Equivalent (φ ≥ .95)
ĐL3: Bất biến đo lường (congruence),OCM,phi = 0.965,Equivalent (φ ≥ .95)
ĐL3: Bất biến đo lường (congruence),SAT_O,phi = 0.988,Equivalent (φ ≥ .95)
ĐL3: Bất biến đo lường (congruence),SAT_J,phi = 0.986,Equivalent (φ ≥ .95)
ĐL3: Bất biến đo lường (congruence),WEG,phi = 0.939,Fair (.90–.95)
ĐL3: Bất biến đo lường (congruence),PRO,phi = 0.97,Equivalent (φ ≥ .95)
ĐL3: Bất biến đo lường (congruence),LED,phi = 0.99,Equivalent (φ ≥ .95)
ĐL3: Bất biến đo lường (congruence),COL,phi = 0.939,Fair (.90–.95)
ĐT: Khoảng cách diễn ngôn (PhoBERT),cosine VN vs NN,0.7992829084396362,kiểm định hoán vị p = 0.0
ĐT: Giọng điệu (sentiment),VN vs NN,-0.127 vs 0.916,NGƯỢC chiều — cần xem lại
