Thang đo,Tên,Thấp nhất,Cao nhất,Khoảng cách
STR,Chiến lược,55.0,79.0,24.0
NOR,Chuẩn mực,56.0,79.6,23.6
OPE,Hành động,62.7,82.2,19.5
SAT_O,Hài lòng với tổ chức,55.7,73.8,18.1
GLO,Các khía cạnh tổng thể,62.3,77.9,15.6
COL,Giao tiếp,66.4,79.2,12.8
SHA,Các giá trị,65.5,76.7,11.2
TRU,Niềm tin,69.2,79.5,10.3
LED,Lãnh đạo,68.1,78.2,10.1
SAT_J,Hài lòng với công việc,66.1,74.7,8.6
PAR,Tham gia,69.2,77.2,8.0
WEG,Gắn kết công việc,69.0,76.6,7.6
RES,Trách nhiệm,78.8,85.2,6.4
PRO,Phát triển chuyên môn,73.7,80.0,6.3
COM,Cam kết,80.4,86.4,6.0
OCM,Cam kết tổ chức,73.8,79.7,5.9
ENG,Gắn kết,79.3,83.8,4.5
