,NOR,STR,OPE,LED,COL,PAR,TRU,SHA,COM,RES,ENG,GLO,OCM,SAT_O,SAT_J,WEG,PRO
NOR,1.0,0.855,0.836,0.664,0.732,0.462,0.678,0.748,0.184,0.469,0.363,0.827,0.61,0.756,0.635,0.464,0.563
STR,0.855,1.0,0.871,0.666,0.748,0.457,0.721,0.725,0.215,0.448,0.328,0.833,0.59,0.771,0.619,0.489,0.592
OPE,0.836,0.871,1.0,0.664,0.752,0.471,0.696,0.742,0.217,0.458,0.331,0.841,0.616,0.747,0.648,0.523,0.586
LED,0.664,0.666,0.664,1.0,0.672,0.575,0.815,0.718,0.269,0.538,0.423,0.793,0.701,0.659,0.675,0.578,0.56
COL,0.732,0.748,0.752,0.672,1.0,0.598,0.791,0.822,0.275,0.532,0.407,0.861,0.659,0.78,0.684,0.597,0.657
PAR,0.462,0.457,0.471,0.575,0.598,1.0,0.6,0.563,0.409,0.512,0.532,0.601,0.62,0.48,0.511,0.657,0.586
TRU,0.678,0.721,0.696,0.815,0.791,0.6,1.0,0.761,0.256,0.552,0.424,0.8,0.691,0.715,0.67,0.584,0.595
SHA,0.748,0.725,0.742,0.718,0.822,0.563,0.761,1.0,0.248,0.547,0.375,0.853,0.705,0.753,0.695,0.583,0.68
COM,0.184,0.215,0.217,0.269,0.275,0.409,0.256,0.248,1.0,0.343,0.5,0.295,0.321,0.193,0.201,0.44,0.348
RES,0.469,0.448,0.458,0.538,0.532,0.512,0.552,0.547,0.343,1.0,0.484,0.578,0.554,0.549,0.511,0.436,0.413
ENG,0.363,0.328,0.331,0.423,0.407,0.532,0.424,0.375,0.5,0.484,1.0,0.409,0.503,0.301,0.382,0.593,0.488
GLO,0.827,0.833,0.841,0.793,0.861,0.601,0.8,0.853,0.295,0.578,0.409,1.0,0.732,0.809,0.71,0.633,0.672
OCM,0.61,0.59,0.616,0.701,0.659,0.62,0.691,0.705,0.321,0.554,0.503,0.732,1.0,0.576,0.617,0.721,0.535
SAT_O,0.756,0.771,0.747,0.659,0.78,0.48,0.715,0.753,0.193,0.549,0.301,0.809,0.576,1.0,0.825,0.502,0.58
SAT_J,0.635,0.619,0.648,0.675,0.684,0.511,0.67,0.695,0.201,0.511,0.382,0.71,0.617,0.825,1.0,0.516,0.578
WEG,0.464,0.489,0.523,0.578,0.597,0.657,0.584,0.583,0.44,0.436,0.593,0.633,0.721,0.502,0.516,1.0,0.568
PRO,0.563,0.592,0.586,0.56,0.657,0.586,0.595,0.68,0.348,0.413,0.488,0.672,0.535,0.58,0.578,0.568,1.0
