,F1,F2,F3,F4,F5
OCM1,0.117,0.906,-0.049,-0.227,-0.159
OCM2,0.111,0.748,-0.045,-0.039,-0.021
OCM3,0.354,0.74,-0.085,-0.12,-0.064
SAT_O1,0.823,-0.014,-0.043,0.01,0.085
SAT_O2,0.873,0.04,-0.118,0.036,0.012
SAT_O3,0.895,-0.012,-0.129,0.023,0.026
SAT_O4,0.903,-0.079,-0.109,0.126,0.102
SAT_O5,0.454,-0.06,0.09,-0.089,0.611
SAT_O6,0.78,-0.1,0.054,0.177,0.112
SAT_J1,0.586,-0.034,0.075,-0.081,0.543
SAT_J2,0.637,-0.001,0.075,-0.048,0.186
SAT_J3,0.812,0.017,-0.019,-0.028,0.127
SAT_J4,0.76,0.19,-0.095,-0.022,0.249
WEG1,0.067,0.527,-0.113,0.48,0.011
WEG2,0.005,0.592,-0.039,0.376,0.044
WEG3,0.144,0.403,-0.148,0.551,0.044
WEG4,-0.006,0.923,-0.038,-0.049,-0.057
WEG5,-0.008,0.875,-0.08,-0.007,0.048
WEG6,-0.24,0.598,0.286,-0.064,0.33
WEG7,-0.276,0.648,0.138,0.06,0.307
WEG8,0.01,0.279,0.241,0.356,-0.144
WEG9,0.092,-0.189,0.1,0.849,-0.106
PRO1,0.562,0.07,0.318,0.051,-0.249
PRO2,0.455,0.081,0.291,0.11,-0.075
PRO3,0.304,0.129,0.63,-0.223,-0.111
PRO4,-0.12,-0.184,0.881,0.211,0.046
PRO5,0.001,0.069,0.835,-0.125,0.09
PRO6,-0.118,-0.079,0.836,0.086,0.166
