Khái niệm,Item,loading,communality,Đạt loading≥.70
COL,COL1,0.852,0.725,Đạt
COL,COL2,0.894,0.8,Đạt
COL,COL3,0.902,0.814,Đạt
COL,COL4,0.876,0.767,Đạt
COL,COL5,0.647,0.419,Xem xét
COL,COL6,0.765,0.585,Đạt
COM,COM1,0.915,0.837,Đạt
COM,COM2,0.852,0.727,Đạt
COM,COM3,0.676,0.457,Xem xét
ENG,ENG1,0.674,0.454,Xem xét
ENG,ENG2,0.798,0.637,Đạt
ENG,ENG3,0.789,0.623,Đạt
ENG,ENG4,0.776,0.602,Đạt
GLO,GLO1,0.827,0.684,Đạt
GLO,GLO2,0.875,0.766,Đạt
GLO,GLO3,0.882,0.778,Đạt
GLO,GLO4,0.869,0.756,Đạt
GLO,GLO5,0.881,0.777,Đạt
GLO,GLO6,0.796,0.634,Đạt
GLO,GLO7,0.812,0.659,Đạt
GLO,GLO8,0.886,0.785,Đạt
LED,LED1,0.771,0.595,Đạt
LED,LED10,0.867,0.752,Đạt
LED,LED11,0.892,0.795,Đạt
LED,LED12,0.868,0.754,Đạt
LED,LED2,0.624,0.39,Xem xét
LED,LED3,0.806,0.65,Đạt
LED,LED4,0.891,0.795,Đạt
LED,LED5,0.896,0.802,Đạt
LED,LED6,0.903,0.815,Đạt
LED,LED7,0.893,0.797,Đạt
LED,LED8,0.895,0.802,Đạt
LED,LED9,0.9,0.81,Đạt
NOR,NOR1,0.941,0.885,Đạt
NOR,NOR2,0.954,0.911,Đạt
NOR,NOR3,0.935,0.874,Đạt
OCM,OCM1,0.886,0.785,Đạt
OCM,OCM2,0.855,0.73,Đạt
OCM,OCM3,0.905,0.818,Đạt
OPE,OPE1,0.908,0.824,Đạt
OPE,OPE2,0.895,0.801,Đạt
OPE,OPE3,0.911,0.83,Đạt
PAR,PAR1,0.773,0.597,Đạt
PAR,PAR2,0.851,0.724,Đạt
PAR,PAR3,0.688,0.474,Xem xét
PAR,PAR4,0.728,0.53,Đạt
PRO,PRO1,0.824,0.679,Đạt
PRO,PRO2,0.804,0.646,Đạt
PRO,PRO3,0.803,0.645,Đạt
PRO,PRO4,0.576,0.332,Xem xét
PRO,PRO5,0.688,0.473,Xem xét
PRO,PRO6,0.571,0.326,Xem xét
RES,RES1,0.918,0.843,Đạt
RES,RES2,0.881,0.776,Đạt
SAT_J,SAT_J1,0.761,0.58,Đạt
SAT_J,SAT_J2,0.738,0.544,Đạt
SAT_J,SAT_J3,0.899,0.809,Đạt
SAT_J,SAT_J4,0.9,0.811,Đạt
SAT_O,SAT_O1,0.784,0.614,Đạt
SAT_O,SAT_O2,0.897,0.805,Đạt
SAT_O,SAT_O3,0.871,0.759,Đạt
SAT_O,SAT_O4,0.9,0.81,Đạt
SAT_O,SAT_O5,0.518,0.268,Xem xét
SAT_O,SAT_O6,0.853,0.727,Đạt
SHA,SHA1,0.931,0.867,Đạt
SHA,SHA2,0.932,0.869,Đạt
STR,STR1,0.904,0.817,Đạt
STR,STR2,0.929,0.862,Đạt
STR,STR3,0.929,0.863,Đạt
TRU,TRU1,0.892,0.795,Đạt
TRU,TRU2,0.868,0.753,Đạt
TRU,TRU3,0.789,0.622,Đạt
TRU,TRU4,0.681,0.464,Xem xét
WEG,WEG1,0.845,0.713,Đạt
WEG,WEG2,0.853,0.727,Đạt
WEG,WEG3,0.825,0.681,Đạt
WEG,WEG4,0.814,0.663,Đạt
WEG,WEG5,0.815,0.664,Đạt
WEG,WEG6,0.618,0.382,Xem xét
WEG,WEG7,0.667,0.445,Xem xét
WEG,WEG8,0.615,0.378,Xem xét
WEG,WEG9,0.495,0.245,Xem xét
