Biến phụ thuộc,Biến độc lập,Beta,SE,t,p,f2,f2 mức,Kết luận
PAR,OPE,0.229,0.113,2.02,0.0447,0.015,không đáng kể,Có ý nghĩa
PAR,STR,0.105,0.12,0.88,0.3808,0.003,không đáng kể,Không có ý nghĩa
PAR,NOR,0.198,0.107,1.86,0.0644,0.012,không đáng kể,Không có ý nghĩa
COL,OPE,0.31,0.08,3.89,<.001,0.055,nhỏ,Có ý nghĩa
COL,STR,0.247,0.084,2.93,0.0037,0.031,nhỏ,Có ý nghĩa
COL,NOR,0.281,0.075,3.75,<.001,0.051,nhỏ,Có ý nghĩa
LED,OPE,0.24,0.094,2.57,0.0107,0.024,nhỏ,Có ý nghĩa
LED,STR,0.224,0.099,2.27,0.024,0.019,không đáng kể,Có ý nghĩa
LED,NOR,0.276,0.088,3.13,0.0019,0.035,nhỏ,Có ý nghĩa
SHA,PAR,0.049,0.04,1.21,0.2263,0.005,không đáng kể,Không có ý nghĩa
SHA,COL,0.626,0.046,13.57,<.001,0.665,lớn,Có ý nghĩa
SHA,LED,0.257,0.044,5.82,<.001,0.122,nhỏ,Có ý nghĩa
TRU,PAR,0.073,0.036,2.06,0.0399,0.015,không đáng kể,Có ý nghĩa
TRU,COL,0.373,0.041,9.15,<.001,0.302,trung bình,Có ý nghĩa
TRU,LED,0.54,0.039,13.82,<.001,0.69,lớn,Có ý nghĩa
ENG,SHA,0.126,0.084,1.51,0.1324,0.008,không đáng kể,Không có ý nghĩa
ENG,TRU,0.326,0.084,3.89,<.001,0.055,nhỏ,Có ý nghĩa
RES,SHA,0.297,0.075,3.95,<.001,0.056,nhỏ,Có ý nghĩa
RES,TRU,0.327,0.075,4.35,<.001,0.068,nhỏ,Có ý nghĩa
COM,SHA,0.147,0.088,1.67,0.097,0.01,không đáng kể,Không có ý nghĩa
COM,TRU,0.187,0.088,2.12,0.0346,0.016,không đáng kể,Có ý nghĩa
GLO,PAR,0.043,0.034,1.26,0.2098,0.006,không đáng kể,Không có ý nghĩa
GLO,COL,0.597,0.037,16.13,<.001,0.95,lớn,Có ý nghĩa
GLO,LED,0.324,0.036,9.02,<.001,0.297,trung bình,Có ý nghĩa
GLO,ENG,-0.042,0.032,-1.32,0.1881,0.006,không đáng kể,Không có ý nghĩa
GLO,RES,0.069,0.032,2.13,0.0337,0.017,không đáng kể,Có ý nghĩa
GLO,COM,0.026,0.029,0.89,0.3731,0.003,không đáng kể,Không có ý nghĩa
PRO,GLO,0.749,0.04,18.89,<.001,1.279,lớn,Có ý nghĩa
WEG,GLO,0.649,0.046,14.24,<.001,0.727,lớn,Có ý nghĩa
SAT_J,GLO,0.722,0.041,17.45,<.001,1.092,lớn,Có ý nghĩa
SAT_O,GLO,0.815,0.035,23.46,<.001,1.973,lớn,Có ý nghĩa
OCM,GLO,0.738,0.04,18.24,<.001,1.193,lớn,Có ý nghĩa
