Factor,Variable,F,p,eta2p
School,GLO,5.978,0.0001,0.08
School,OCM,0.916,0.4551,0.013
School,SAT_J,2.016,0.0925,0.028
School,SAT_O,8.087,0.0,0.105
School,WEG,2.169,0.0727,0.03
School,PRO,2.484,0.044,0.035
Tenure,GLO,3.417,0.0095,0.047
Tenure,OCM,2.162,0.0735,0.03
Tenure,SAT_J,2.467,0.0452,0.035
Tenure,SAT_O,3.536,0.0078,0.049
Tenure,WEG,1.724,0.1449,0.024
Tenure,PRO,2.052,0.0873,0.029
Age,GLO,1.321,0.2623,0.019
Age,OCM,0.25,0.9096,0.004
Age,SAT_J,1.081,0.3663,0.015
Age,SAT_O,1.262,0.2851,0.018
Age,WEG,1.206,0.3086,0.017
Age,PRO,0.742,0.5638,0.011
Respondent group,GLO,60.498,0.0,0.396
Respondent group,OCM,40.759,0.0,0.306
Respondent group,SAT_J,32.642,0.0,0.261
Respondent group,SAT_O,44.737,0.0,0.326
Respondent group,WEG,9.132,0.0,0.09
Respondent group,PRO,12.254,0.0,0.117
