Scale,Name,Block,No. of items,Cronbach Alpha,Min CITC,Evaluation
NOR,Normative,Structural-formal Elements,3,0.938,0.852,Good
STR,Strategic,Structural-formal Elements,3,0.909,0.78,Good
OPE,Operative,Structural-formal Elements,3,0.889,0.759,Good
LED,Leadership,Intermediary Factor,12,0.966,0.597,Good
COL,Communication,Intermediary Factor,6,0.909,0.604,Good
PAR,Participation,Intermediary Factor,4,0.759,0.499,Met
TRU,Trust,Organizational-psychological Elements,4,0.831,0.571,Good
SHA,Shared Value,Organizational-psychological Elements,2,0.848,0.736,Good
COM,Commitment,Organizational-psychological Elements,4,0.574,0.236,Not met
RES,Responsibility,Organizational-psychological Elements,4,0.527,0.211,Not met
ENG,Engagement,Organizational-psychological Elements,4,0.758,0.532,Met
GLO,Global Aspects,Measuring Quality Culture through Global Aspects,8,0.947,0.749,Good
OCM,Organizational Commitment,Outcome Variables,3,0.857,0.71,Good
SAT_O,Organizational Satisfaction,Outcome Variables,6,0.9,0.467,Good
SAT_J,Job Satisfaction,Outcome Variables,4,0.847,0.61,Good
WEG,Work Engagement,Outcome Variables,9,0.89,0.406,Good
PRO,Professional Development,Outcome Variables,6,0.832,0.544,Good
