,Mean,Std. deviation,Min,Max,Skewness,Kurtosis
NOR1,4.694,1.213,1.0,6.0,-1.174,1.113
NOR2,4.577,1.19,1.0,6.0,-1.118,1.07
NOR3,4.591,1.165,1.0,6.0,-1.163,1.209
STR1,4.413,1.296,1.0,6.0,-0.823,-0.004
STR2,4.637,1.209,1.0,6.0,-1.119,1.08
STR3,4.53,1.21,1.0,6.0,-0.9,0.41
OPE1,4.584,1.156,1.0,6.0,-0.952,0.626
OPE2,4.719,1.211,1.0,6.0,-1.219,1.428
OPE3,4.641,1.208,1.0,6.0,-1.043,1.058
LED1,4.829,0.974,1.0,6.0,-1.332,2.674
LED2,4.498,1.036,1.0,6.0,-0.938,0.974
LED3,4.633,1.064,1.0,6.0,-1.391,2.625
LED4,4.669,1.245,1.0,6.0,-1.273,1.397
LED5,4.794,1.262,1.0,6.0,-1.323,1.381
LED6,4.68,1.203,1.0,6.0,-1.272,1.472
LED7,4.687,1.159,1.0,6.0,-1.098,1.19
LED8,4.708,1.165,1.0,6.0,-1.243,1.534
LED9,4.722,1.141,1.0,6.0,-1.126,1.441
LED10,4.779,1.159,1.0,6.0,-1.348,1.945
LED11,4.644,1.202,1.0,6.0,-1.102,0.948
LED12,4.637,1.255,1.0,6.0,-1.1,0.803
COL1,4.633,1.218,1.0,6.0,-1.132,1.108
COL2,4.833,1.107,1.0,6.0,-1.494,2.624
COL3,4.698,1.117,1.0,6.0,-1.209,1.691
COL4,4.808,1.052,1.0,6.0,-1.372,2.25
COL5,4.826,0.899,1.0,6.0,-1.103,2.199
COL6,4.74,1.004,1.0,6.0,-1.061,1.31
PAR1,4.594,1.075,1.0,6.0,-0.819,0.644
PAR2,4.719,0.92,1.0,6.0,-0.967,1.528
PAR3,4.658,0.869,1.0,6.0,-0.694,1.147
PAR4,4.868,0.93,1.0,6.0,-1.238,2.608
TRU1,4.505,1.262,1.0,6.0,-1.085,0.913
TRU2,4.744,1.164,1.0,6.0,-1.116,1.061
TRU3,4.84,1.048,1.0,6.0,-1.267,2.244
TRU4,4.904,0.986,1.0,6.0,-1.358,2.383
SHA1,4.69,1.131,1.0,6.0,-1.144,1.525
SHA2,4.544,1.13,1.0,6.0,-1.083,1.356
COM1,5.231,0.712,2.0,6.0,-0.787,1.108
COM2,5.221,0.687,2.0,6.0,-0.649,0.928
COM3,5.157,0.852,1.0,6.0,-1.074,2.012
COM4r,3.737,1.529,1.0,6.0,-0.268,-1.197
RES1,5.025,1.037,1.0,6.0,-1.6,3.23
RES2,5.103,0.894,2.0,6.0,-1.23,1.903
RES3,5.306,0.788,2.0,6.0,-1.572,4.036
RES4r,3.886,1.524,1.0,6.0,-0.27,-1.164
ENG1,5.253,0.679,2.0,6.0,-0.636,0.821
ENG2,4.947,0.911,1.0,6.0,-0.952,1.204
ENG3,5.242,0.745,2.0,6.0,-1.155,2.702
ENG4,4.897,0.828,2.0,6.0,-0.641,0.482
GLO1,4.712,1.028,1.0,6.0,-0.99,1.109
GLO2,4.516,1.134,1.0,6.0,-0.802,0.555
GLO3,4.552,1.127,1.0,6.0,-1.057,1.2
GLO4,4.726,1.099,1.0,6.0,-1.149,1.58
GLO5,4.641,1.246,1.0,6.0,-1.334,1.615
GLO6,4.669,1.083,1.0,6.0,-1.114,1.375
GLO7,4.356,1.205,1.0,6.0,-0.738,0.277
GLO8,4.384,1.166,1.0,6.0,-0.923,0.777
OCM1,4.943,1.179,1.0,6.0,-1.417,1.857
OCM2,4.779,1.115,1.0,6.0,-1.344,2.075
OCM3,4.776,1.077,1.0,6.0,-1.322,2.259
SAT_O1,3.726,0.862,1.0,5.0,-0.654,0.662
SAT_O2,3.463,0.989,1.0,5.0,-0.788,0.315
SAT_O3,3.662,0.935,1.0,5.0,-0.729,0.58
SAT_O4,3.406,1.0,1.0,5.0,-0.581,0.271
SAT_O5,4.089,0.709,1.0,5.0,-0.613,0.979
SAT_O6,3.637,1.002,1.0,5.0,-0.746,0.418
SAT_J1,3.822,0.791,1.0,5.0,-0.501,0.489
SAT_J2,3.986,0.751,1.0,5.0,-0.537,0.525
SAT_J3,3.708,0.903,1.0,5.0,-0.858,1.063
SAT_J4,3.836,0.738,1.0,5.0,-0.697,1.253
WEG1,4.562,1.037,1.0,6.0,-0.845,1.08
WEG2,4.612,1.06,1.0,6.0,-0.75,0.587
WEG3,4.427,1.16,1.0,6.0,-0.886,0.771
WEG4,4.947,0.982,1.0,6.0,-1.372,2.646
WEG5,4.794,1.004,1.0,6.0,-1.113,2.1
WEG6,5.075,0.814,1.0,6.0,-1.139,2.79
WEG7,4.94,0.945,1.0,6.0,-1.209,2.172
WEG8,4.523,0.971,1.0,6.0,-0.878,1.079
WEG9,4.199,1.157,1.0,6.0,-0.145,-0.618
PRO1,4.804,1.046,1.0,6.0,-1.035,1.032
PRO2,4.509,1.083,1.0,6.0,-1.069,1.247
PRO3,4.829,1.031,1.0,6.0,-1.384,2.662
PRO4,5.085,0.765,2.0,6.0,-0.628,0.474
PRO5,4.957,0.869,1.0,6.0,-0.739,0.848
PRO6,4.925,0.818,1.0,6.0,-0.807,1.674
